date	bot	pr_id	verdict	reason
2026-09-16	3DTE $140-$350	PR-07	UNEVALUABLE_BY_DESIGN	gate_type=unknown for 3DTE $140-$350; no signed entry condition
2026-09-16	60min-ORB-10W-Paper-v1	PR-12	SUSPECT	SPX p=7616.17 at 11:00 breaks ORB range 7597.61-7614.97 (prior_close 7585.73)
2026-09-16	DIR-SPX-PutVIX22-SL75	PR-05	JUSTIFIED	VIX high=16.75, low=16.68, prior_close=17.2; threshold >=22.0; high < threshold in window 11:00 (1 bars)
2026-09-16	Friday 14 DTE Broken Wing IB (B-70)	PR-10	JUSTIFIED	date is Wed, gate requires Fri
2026-09-16	IC-SPX-FastPT25-S2	PR-01	SUSPECT	SPX p=7616.17 at 11:00, Δ%=0.4, |Δ%|=0.4 < threshold 0.75
2026-09-16	IC-SPX-FastPT25-S2-130PM	PR-02	SUSPECT	SPX p=7609.19 at 13:30, Δ%=0.31, |Δ%|=0.31 < threshold 0.75
2026-09-16	IC-SPX-Fortress-Unstopped	INC-01	SUSPECT	no market gate and no fill_precondition declared; silence is suspect
2026-09-16	Nigiri-Paper-v1	PR-08	UNEVALUABLE_BY_DESIGN	gate_type=unknown for Nigiri-Paper-v1; no signed entry condition
2026-09-16	Trendy-Paper-v1	PR-11	UNEVALUABLE_BY_DESIGN	gate_type=unknown for Trendy-Paper-v1; no signed entry condition
