date	bot	pr_id	verdict	reason
2026-09-04	3DTE $140-$350	PR-07	UNEVALUABLE_BY_DESIGN	gate_type=unknown for 3DTE $140-$350; no signed entry condition
2026-09-04	60min-ORB-10W-Paper-v1	PR-12	SUSPECT	SPX p=7718.89 at 10:40 breaks ORB range 7723.78-7750.19 (prior_close 7747.71)
2026-09-04	DIR-SPX-CallVIXdrop	PR-06	JUSTIFIED	VIX low=14.29 vs prior=14.32 gives -0.21% change, threshold <=-2.0%; never reached in window 11:00 (1 bars)
2026-09-04	DIR-SPX-PutVIX22-SL75	PR-05	JUSTIFIED	VIX high=14.36, low=14.29, prior_close=14.32; threshold >=22.0; high < threshold in window 11:00 (1 bars)
2026-09-04	Friday 14 DTE Broken Wing IB (B-70)	PR-10	SUSPECT	date is Fri, gate requires Fri
2026-09-04	IC-SPX-Fortress-Unstopped	INC-01	SUSPECT	no market gate and no fill_precondition declared; silence is suspect
2026-09-04	Nigiri-Paper-v1	PR-08	UNEVALUABLE_BY_DESIGN	gate_type=unknown for Nigiri-Paper-v1; no signed entry condition
2026-09-04	QQQ-IC-0DTE-Fortress-NoPT50	PR-04	UNEVALUABLE_FLOOR	fill_precondition credit floor value unrecorded
2026-09-04	Trendy-Paper-v1	PR-11	UNEVALUABLE_BY_DESIGN	gate_type=unknown for Trendy-Paper-v1; no signed entry condition
